date,name,dc,avatar,type,message,image
2025/4/8 下午 1:30:41,ラスキ 浮雲,rasuki030,https://drive.google.com/open?id=1LsxFx5LwNEZEJkcoW8QxHLgiqWR2vjn0,text,"熙歌生日快樂⁠✧\⁠⁠(⁠>⁠o⁠<⁠)⁠ﾉ⁠⁠✧
大家一起慶祝到80歲(⁠つ⁠≧⁠▽⁠≦⁠)⁠つ",
2025/4/8 下午 1:41:10,亞允 認真鋼鐵人,sirius0116,https://drive.google.com/open?id=1Rv37jrwMOVsHTPtWGPzjMWbYZuNkD6Yz,text,歌，經過了這麼久，也經歷了一些值得紀念的事。在今年年初我也成功的北上參加線下見面會，很感謝有遇見你。,
2025/4/8 下午 1:46:35,閃現不用錢,sneakmark02,https://drive.google.com/open?id=1xkfQIy6YS3E41Lk_hH9QEMTmx3PaoGnr,text,"在慵懶朦朧的早晨
有C8陪我
在寂寞空虛的夜晚
有088陪我
您的誕生即是奇跡
您的氣質也是奇跡？",
2025/4/8 下午 1:56:33,蓮,dao.sui,https://drive.google.com/open?id=1Cn6k_lc03IjxmFQpNSZpKqazqO_BLBGp,text,"感謝歌帶給我們那麼多的快樂及有趣的實況
祝歌接下來的一年事事順心 財源滾滾
歌~生日快樂！",
2025/4/8 下午 9:18:45,薩摩耶,薩摩耶,https://drive.google.com/open?id=1Ze3ogLfAcdo1kgBdm0QYzHSwdPvxyuL1,text,"我在低潮時接觸vtuber
愛上了這種放鬆的氣氛
您的直播深深吸引著我
Cygnus５２０生日快樂",
2025/4/9 下午 8:05:09,狂雪,kuangsnow,https://drive.google.com/open?id=1ByHdQsn5JmR0oGAvSMDCF37AvZfZ3sWp,text,就算是遠在天鵝座的黑洞，婚叫的生(咕)日(咕)祝(披)福(薩)也必定送到!!,
2025/4/14 下午 11:03:20,悠凡,悠凡,https://drive.google.com/open?id=1WUih8Mf_pB-_kIHNPHVFmLatVFZX_HR6,text,熙歌闆闆生日快樂，時間過得真快，轉眼間幫妳慶祝第三次生日，願你在成長的道路上，勇敢追逐自己的夢想！,
2025/4/15 下午 7:56:19,想睡覺的pepega,leolove8888,https://drive.google.com/open?id=1ubLykFlEv_yUrzUI8HeiAOCV1gS09TSp,text,"熙歌闆闆生日快樂 
認識歌也快一年了
雖然還在上課沒辦法跟早八
但是還是祝歌生日快樂",
2025/4/18 下午 11:02:36,樂章,alio000,https://drive.google.com/open?id=1b4Dc7XGTQhf9RdiFepyCdcqx50xTC32W,image,,https://drive.google.com/open?id=1Zslh94VRiRcbG9hyfR4B_u6VvcaUHVVa
2025/4/19 下午 6:41:11,龍影,uom878787,https://drive.google.com/open?id=1urpL8yNBsafuXTsuBSKjaW4_L-m6ci_L,text,恭喜歌闆闆迎來了5（+3）歲歲啦，再次祝福歌闆闆日進斗金、文思泉湧，每天都能開心的和婚叫們一起渡過。,
2025/4/20 上午 12:43:13,大三正在考證照的婚叫,subject1170,https://drive.google.com/open?id=1B1uPFkLhwu53tNWoHfz5amSsshpxvTQL,text,"熙歌生日快樂~很喜歡妳在開台時各種真性情的樣子
喜歡你直播的效果，還有持續進步的歌回
歐比很可愛:D",
2025/4/20 上午 1:54:30,白麗菜 白色色高麗菜,dhydradd,https://drive.google.com/open?id=1G7ocvlT2qPjYuRG_Xh1hetbcO4WO_Bot,text,"一年一度的生日，我們又看了歌一年了，
希望我們可以持續到088歲都可以慶祝到妳的生日
會一直看妳下去",
2025/4/20 上午 1:58:38,河豚,河豚,https://drive.google.com/open?id=1lJKP-jdkjk76KRU6V_a3pn8qTyxHbwT-,text,熙歌生日快樂!!!,
2025/4/20 下午 2:41:50,Owen,owen52,https://drive.google.com/open?id=1V4l-ciV217PVPooC-3LZtJaMwlxNkigh,text,恭喜又多了一歲啦，希望歌之後也能開心地想出有趣的主題跟我們一同參與，生日快樂!,
2025/4/20 下午 7:52:57,梁柯夢,worldsay,https://drive.google.com/open?id=1_8hCpdjJlEkTS-tBnxoWVafboSQ92n4o,text,祝超可愛的熙歌女王：身體健康！事業順利！天天開心！年年有今日！歲歲有今朝！ 生日快樂!,
2025/4/20 下午 11:38:44,Jeff Tsai,Pichia5566,https://drive.google.com/open?id=10PSwBB0s4glK4PYGgStgviXVmepbLll4,text,熙歌生日快樂~ 恭喜這一年達成3D化、銀盾等重大里程，讓我們一起朝更高處出發吧，說好開一輩子直播嗎~,
2025/4/20 下午 11:58:40,樂章,alio000,https://drive.google.com/open?id=1OjxliYzQ3NSt-ucXH1A5FEoQ2j7siNvy,text,"歌~轉眼間就來到與妳相遇的第三次生日了!祝歌闆闆生日快樂XDD
熙歌(´,,•ω•,,)♡超可愛",
2025/4/20 下午 11:59:05,【叭噗叭噗】排氣管,【叭噗叭噗】排氣管 sidstraw,https://drive.google.com/open?id=199cijkqU7XwxwrXHlXLdB6owZMMauzea,text,終於在歌的生日之前拿到金蛋蛋徽章啦，先預告明年一定會掛 Gayge 蛋蛋幫歌慶生,
2025/4/21 上午 12:13:04,白毛BaimoRay,baimo_ray,https://drive.google.com/open?id=1ddvEoJ2znrTZJM78CxxsggA8l0kBgdgB,image,,https://drive.google.com/open?id=16GVcOqlZTj7R98knBih-JzULzhmVR-Lo
